A	Antibiotic	Class	Gene
TMP	Trimethoprim	Diaminopyrimidine	dfrA*
CIP	Ciprofloxacin	Fluoroquinolones	qnr*
TET	Tetracycline	Tetracycline	tet*
MERO	Meropenem	Betalactams	TEM*
MERO	Meropenem	Betalactams	CTX-M*
MERO	Meropenem	Betalactams	OXA*
MERO	Meropenem	Betalactams	VIM*
MERO	Meropenem	Betalactams	CAM*
MERO	Meropenem	Betalactams	SHV*
MERO	Meropenem	Betalactams	NDM*
MERO	Meropenem	Betalactams	KPC*
MERO	Meropenem	Betalactams	AMPC*
MERO	Meropenem	Betalactams	CMY*
MERO	Meropenem	Betalactams	DHA*
MERO	Meropenem	Betalactams	LAT*
MERO	Meropenem	Betalactams	LEN*
MERO	Meropenem	Betalactams	OKP-A*
MERO	Meropenem	Betalactams	IMP*
MERO	Meropenem	Betalactams	BIL*
MERO	Meropenem	Betalactams	ACI*
NAL	NalidixicAcid	Fluoroquinolones	qnr*
FOT	Cefotaxime	Betalactams	TEM*
FOT	Cefotaxime	Betalactams	CTX-M*
FOT	Cefotaxime	Betalactams	OXA*
FOT	Cefotaxime	Betalactams	VIM*
FOT	Cefotaxime	Betalactams	CAM*
FOT	Cefotaxime	Betalactams	SHV*
FOT	Cefotaxime	Betalactams	NDM*
FOT	Cefotaxime	Betalactams	KPC*
FOT	Cefotaxime	Betalactams	AMPC*
FOT	Cefotaxime	Betalactams	CMY*
FOT	Cefotaxime	Betalactams	DHA*
FOT	Cefotaxime	Betalactams	LAT*
FOT	Cefotaxime	Betalactams	LEN*
FOT	Cefotaxime	Betalactams	OKP-A*
FOT	Cefotaxime	Betalactams	IMP*
FOT	Cefotaxime	Betalactams	BIL*
FOT	Cefotaxime	Betalactams	ACI*
CHL	Chloramphenicol	Phenicol	cml*
CHL	Chloramphenicol	Phenicol	floR
CHL	Chloramphenicol	Phenicol	cat*
TGC	Tigecycline	Tetracycline	tet*
TAZ	Ceftazidime	Betalactams	TEM*
TAZ	Ceftazidime	Betalactams	CTX-M*
TAZ	Ceftazidime	Betalactams	OXA*
TAZ	Ceftazidime	Betalactams	VIM*
TAZ	Ceftazidime	Betalactams	CAM*
TAZ	Ceftazidime	Betalactams	SHV*
TAZ	Ceftazidime	Betalactams	NDM*
TAZ	Ceftazidime	Betalactams	KPC*
TAZ	Ceftazidime	Betalactams	AMPC*
TAZ	Ceftazidime	Betalactams	CMY*
TAZ	Ceftazidime	Betalactams	DHA*
TAZ	Ceftazidime	Betalactams	LAT*
TAZ	Ceftazidime	Betalactams	LEN*
TAZ	Ceftazidime	Betalactams	OKP-A*
TAZ	Ceftazidime	Betalactams	IMP*
TAZ	Ceftazidime	Betalactams	BIL*
TAZ	Ceftazidime	Betalactams	ACI*
AMP	Ampicillin	Betalactams	TEM*
AMP	Ampicillin	Betalactams	CTX-M*
AMP	Ampicillin	Betalactams	OXA*
AMP	Ampicillin	Betalactams	VIM*
AMP	Ampicillin	Betalactams	CAM*
AMP	Ampicillin	Betalactams	SHV*
AMP	Ampicillin	Betalactams	NDM*
AMP	Ampicillin	Betalactams	KPC*
AMP	Ampicillin	Betalactams	AMPC*
AMP	Ampicillin	Betalactams	CMY*
AMP	Ampicillin	Betalactams	DHA*
AMP	Ampicillin	Betalactams	LAT*
AMP	Ampicillin	Betalactams	LEN*
AMP	Ampicillin	Betalactams	OKP-A*
AMP	Ampicillin	Betalactams	IMP*
AMP	Ampicillin	Betalactams	BIL*
AMP	Ampicillin	Betalactams	ACI*
GEN	GentamicinA	Aminoglycosides	APH*
GEN	GentamicinA	Aminoglycosides	AAC*
